django.utils.autoreload INFO 2023-03-09 19:45:47,254 autoreload 39084 45804 Watching for file changes with StatReloader
outing.views ERROR 2023-03-09 19:46:26,203 views 45584 45228 POST
outing.views ERROR 2023-03-09 19:46:26,203 views 45584 45228 POST
outing.views INFO 2023-03-09 19:46:26,204 views 45584 45228 ������ţ������ --- ���ݱ����ͺ�ţ
outing.views INFO 2023-03-09 19:46:26,204 views 45584 45228 ������ţ������ --- ���ݱ����ͺ�ţ
django.utils.autoreload INFO 2023-03-09 19:47:41,697 autoreload 45584 47100 E:\repos\github\empty-py-demo\mysite\mysite\settings.py changed, reloading.
django.utils.autoreload INFO 2023-03-09 19:48:22,157 autoreload 43480 44080 Watching for file changes with StatReloader
django.utils.autoreload INFO 2023-03-09 19:48:56,222 autoreload 43480 44080 E:\repos\github\empty-py-demo\mysite\mysite\settings.py changed, reloading.
django.utils.autoreload INFO 2023-03-09 19:49:15,321 autoreload 33576 29828 Watching for file changes with StatReloader
django.utils.autoreload INFO 2023-03-09 19:49:20,709 autoreload 33576 29828 E:\repos\github\empty-py-demo\mysite\mysite\settings.py changed, reloading.
django.utils.autoreload INFO 2023-03-09 19:49:21,191 autoreload 45000 39620 Watching for file changes with StatReloader
django.utils.autoreload INFO 2023-03-09 19:49:23,516 autoreload 45000 39620 E:\repos\github\empty-py-demo\mysite\mysite\settings.py changed, reloading.
django.utils.autoreload INFO 2023-03-09 19:49:24,006 autoreload 46868 43708 Watching for file changes with StatReloader
django.utils.autoreload INFO 2023-03-09 19:49:30,395 autoreload 46868 43708 E:\repos\github\empty-py-demo\mysite\mysite\settings.py changed, reloading.
django.utils.autoreload INFO 2023-03-09 19:50:11,236 autoreload 37636 47692 Watching for file changes with StatReloader
outing.views WARNING 2023-03-09 19:50:27,882 views 37636 47544 <WSGIRequest: POST '/outing/api/form/save'>
outing.views WARNING 2023-03-09 19:50:27,882 views 37636 47544 <WSGIRequest: POST '/outing/api/form/save'>
outing.views INFO 2023-03-09 19:50:27,882 views 37636 47544 POST
outing.views INFO 2023-03-09 19:50:27,882 views 37636 47544 POST
outing.views DEBUG 2023-03-09 19:50:27,882 views 37636 47544 POST
outing.views DEBUG 2023-03-09 19:50:27,882 views 37636 47544 POST
outing.views ERROR 2023-03-09 19:50:27,883 views 37636 47544 POST
outing.views ERROR 2023-03-09 19:50:27,883 views 37636 47544 POST
outing.views INFO 2023-03-09 19:50:27,883 views 37636 47544 ������ţ������ --- ���ݱ����ͺ�ţ
outing.views INFO 2023-03-09 19:50:27,883 views 37636 47544 ������ţ������ --- ���ݱ����ͺ�ţ
outing.views WARNING 2023-03-09 19:50:28,034 views 37636 47544 <WSGIRequest: POST '/outing/api/form/save'>
outing.views WARNING 2023-03-09 19:50:28,034 views 37636 47544 <WSGIRequest: POST '/outing/api/form/save'>
outing.views INFO 2023-03-09 19:50:28,034 views 37636 47544 POST
outing.views INFO 2023-03-09 19:50:28,034 views 37636 47544 POST
outing.views DEBUG 2023-03-09 19:50:28,034 views 37636 47544 POST
outing.views DEBUG 2023-03-09 19:50:28,034 views 37636 47544 POST
outing.views ERROR 2023-03-09 19:50:28,034 views 37636 47544 POST
outing.views ERROR 2023-03-09 19:50:28,034 views 37636 47544 POST
outing.views INFO 2023-03-09 19:50:28,034 views 37636 47544 ������ţ������ --- ���ݱ����ͺ�ţ
outing.views INFO 2023-03-09 19:50:28,034 views 37636 47544 ������ţ������ --- ���ݱ����ͺ�ţ
outing.views WARNING 2023-03-09 19:50:28,186 views 37636 47544 <WSGIRequest: POST '/outing/api/form/save'>
outing.views WARNING 2023-03-09 19:50:28,186 views 37636 47544 <WSGIRequest: POST '/outing/api/form/save'>
outing.views INFO 2023-03-09 19:50:28,186 views 37636 47544 POST
outing.views INFO 2023-03-09 19:50:28,186 views 37636 47544 POST
outing.views DEBUG 2023-03-09 19:50:28,186 views 37636 47544 POST
outing.views DEBUG 2023-03-09 19:50:28,186 views 37636 47544 POST
outing.views ERROR 2023-03-09 19:50:28,186 views 37636 47544 POST
outing.views ERROR 2023-03-09 19:50:28,186 views 37636 47544 POST
outing.views INFO 2023-03-09 19:50:28,187 views 37636 47544 ������ţ������ --- ���ݱ����ͺ�ţ
outing.views INFO 2023-03-09 19:50:28,187 views 37636 47544 ������ţ������ --- ���ݱ����ͺ�ţ
outing.views WARNING 2023-03-09 19:50:36,570 views 37636 47544 <WSGIRequest: POST '/outing/api/form/save'>
outing.views WARNING 2023-03-09 19:50:36,570 views 37636 47544 <WSGIRequest: POST '/outing/api/form/save'>
outing.views INFO 2023-03-09 19:50:36,571 views 37636 47544 POST
outing.views INFO 2023-03-09 19:50:36,571 views 37636 47544 POST
outing.views DEBUG 2023-03-09 19:50:36,571 views 37636 47544 POST
outing.views DEBUG 2023-03-09 19:50:36,571 views 37636 47544 POST
outing.views ERROR 2023-03-09 19:50:36,571 views 37636 47544 POST
outing.views ERROR 2023-03-09 19:50:36,571 views 37636 47544 POST
outing.views INFO 2023-03-09 19:50:36,571 views 37636 47544 ������ţ������ --- ���ݱ����ͺ�ţ
outing.views INFO 2023-03-09 19:50:36,571 views 37636 47544 ������ţ������ --- ���ݱ����ͺ�ţ
django.utils.autoreload INFO 2023-03-09 19:50:58,724 autoreload 37636 47692 E:\repos\github\empty-py-demo\mysite\mysite\settings.py changed, reloading.
django.utils.autoreload INFO 2023-03-09 19:50:59,250 autoreload 47892 23800 Watching for file changes with StatReloader
django.utils.autoreload INFO 2023-03-09 19:55:15,170 autoreload 47892 23800 E:\repos\github\empty-py-demo\mysite\mysite\settings.py changed, reloading.
django.utils.autoreload INFO 2023-03-09 19:55:15,681 autoreload 47092 38616 Watching for file changes with StatReloader
outing.views WARNING 2023-03-09 19:55:21,408 views 47092 7832 <WSGIRequest: POST '/outing/api/form/save'>
outing.views WARNING 2023-03-09 19:55:21,408 views 47092 7832 <WSGIRequest: POST '/outing/api/form/save'>
outing.views INFO 2023-03-09 19:55:21,408 views 47092 7832 POST
outing.views INFO 2023-03-09 19:55:21,408 views 47092 7832 POST
outing.views DEBUG 2023-03-09 19:55:21,408 views 47092 7832 POST
outing.views DEBUG 2023-03-09 19:55:21,408 views 47092 7832 POST
outing.views ERROR 2023-03-09 19:55:21,408 views 47092 7832 POST
outing.views ERROR 2023-03-09 19:55:21,408 views 47092 7832 POST
outing.views INFO 2023-03-09 19:55:21,410 views 47092 7832 今日最牛大外宣 --- 内容本身就很牛
outing.views INFO 2023-03-09 19:55:21,410 views 47092 7832 今日最牛大外宣 --- 内容本身就很牛
outing.views WARNING 2023-03-09 19:55:21,536 views 47092 7832 <WSGIRequest: POST '/outing/api/form/save'>
outing.views WARNING 2023-03-09 19:55:21,536 views 47092 7832 <WSGIRequest: POST '/outing/api/form/save'>
outing.views INFO 2023-03-09 19:55:21,536 views 47092 7832 POST
outing.views INFO 2023-03-09 19:55:21,536 views 47092 7832 POST
outing.views DEBUG 2023-03-09 19:55:21,536 views 47092 7832 POST
outing.views DEBUG 2023-03-09 19:55:21,536 views 47092 7832 POST
outing.views ERROR 2023-03-09 19:55:21,536 views 47092 7832 POST
outing.views ERROR 2023-03-09 19:55:21,536 views 47092 7832 POST
outing.views INFO 2023-03-09 19:55:21,536 views 47092 7832 今日最牛大外宣 --- 内容本身就很牛
outing.views INFO 2023-03-09 19:55:21,536 views 47092 7832 今日最牛大外宣 --- 内容本身就很牛
outing.views WARNING 2023-03-09 19:55:21,689 views 47092 7832 <WSGIRequest: POST '/outing/api/form/save'>
outing.views WARNING 2023-03-09 19:55:21,689 views 47092 7832 <WSGIRequest: POST '/outing/api/form/save'>
outing.views INFO 2023-03-09 19:55:21,689 views 47092 7832 POST
outing.views INFO 2023-03-09 19:55:21,689 views 47092 7832 POST
outing.views DEBUG 2023-03-09 19:55:21,689 views 47092 7832 POST
outing.views DEBUG 2023-03-09 19:55:21,689 views 47092 7832 POST
outing.views ERROR 2023-03-09 19:55:21,690 views 47092 7832 POST
outing.views ERROR 2023-03-09 19:55:21,690 views 47092 7832 POST
outing.views INFO 2023-03-09 19:55:21,690 views 47092 7832 今日最牛大外宣 --- 内容本身就很牛
outing.views INFO 2023-03-09 19:55:21,690 views 47092 7832 今日最牛大外宣 --- 内容本身就很牛
django.utils.autoreload INFO 2023-03-09 19:57:45,435 autoreload 47092 38616 E:\repos\github\empty-py-demo\mysite\mysite\settings.py changed, reloading.
django.utils.autoreload INFO 2023-03-09 19:58:21,793 autoreload 46708 26864 Watching for file changes with StatReloader
outing.views WARNING 2023-03-09 19:58:25,039 views 46708 42596 <WSGIRequest: POST '/outing/api/form/save'>
outing.views WARNING 2023-03-09 19:58:25,039 views 46708 42596 <WSGIRequest: POST '/outing/api/form/save'>
outing.views INFO 2023-03-09 19:58:25,039 views 46708 42596 POST
outing.views INFO 2023-03-09 19:58:25,039 views 46708 42596 POST
outing.views DEBUG 2023-03-09 19:58:25,040 views 46708 42596 POST
outing.views DEBUG 2023-03-09 19:58:25,040 views 46708 42596 POST
outing.views ERROR 2023-03-09 19:58:25,040 views 46708 42596 POST
outing.views ERROR 2023-03-09 19:58:25,040 views 46708 42596 POST
outing.views INFO 2023-03-09 19:58:25,040 views 46708 42596 今日最牛大外宣 --- 内容本身就很牛
outing.views INFO 2023-03-09 19:58:25,040 views 46708 42596 今日最牛大外宣 --- 内容本身就很牛
django.utils.autoreload INFO 2023-03-09 19:58:36,520 autoreload 46708 26864 E:\repos\github\empty-py-demo\mysite\mysite\settings.py changed, reloading.
django.utils.autoreload INFO 2023-03-09 19:59:12,183 autoreload 43880 46920 Watching for file changes with StatReloader
django.utils.autoreload INFO 2023-03-09 19:59:43,151 autoreload 43880 46920 E:\repos\github\empty-py-demo\mysite\mysite\settings.py changed, reloading.
django.utils.autoreload INFO 2023-03-09 19:59:43,667 autoreload 44304 10500 Watching for file changes with StatReloader
outing.views WARNING 2023-03-09 19:59:52,119 views 44304 43940 <WSGIRequest: POST '/outing/api/form/save'>
outing.views WARNING 2023-03-09 19:59:52,119 views 44304 43940 <WSGIRequest: POST '/outing/api/form/save'>
outing.views INFO 2023-03-09 19:59:52,119 views 44304 43940 POST
outing.views INFO 2023-03-09 19:59:52,119 views 44304 43940 POST
outing.views DEBUG 2023-03-09 19:59:52,119 views 44304 43940 POST
outing.views DEBUG 2023-03-09 19:59:52,119 views 44304 43940 POST
outing.views ERROR 2023-03-09 19:59:52,119 views 44304 43940 POST
outing.views ERROR 2023-03-09 19:59:52,119 views 44304 43940 POST
outing.views INFO 2023-03-09 19:59:52,120 views 44304 43940 今日最牛大外宣 --- 内容本身就很牛
outing.views INFO 2023-03-09 19:59:52,120 views 44304 43940 今日最牛大外宣 --- 内容本身就很牛
outing.views WARNING 2023-03-09 19:59:52,271 views 44304 43940 <WSGIRequest: POST '/outing/api/form/save'>
outing.views WARNING 2023-03-09 19:59:52,271 views 44304 43940 <WSGIRequest: POST '/outing/api/form/save'>
outing.views INFO 2023-03-09 19:59:52,271 views 44304 43940 POST
outing.views INFO 2023-03-09 19:59:52,271 views 44304 43940 POST
outing.views DEBUG 2023-03-09 19:59:52,272 views 44304 43940 POST
outing.views DEBUG 2023-03-09 19:59:52,272 views 44304 43940 POST
outing.views ERROR 2023-03-09 19:59:52,272 views 44304 43940 POST
outing.views ERROR 2023-03-09 19:59:52,272 views 44304 43940 POST
outing.views INFO 2023-03-09 19:59:52,272 views 44304 43940 今日最牛大外宣 --- 内容本身就很牛
outing.views INFO 2023-03-09 19:59:52,272 views 44304 43940 今日最牛大外宣 --- 内容本身就很牛
django.utils.autoreload INFO 2023-03-10 08:51:03,861 autoreload 44304 10500 E:\repos\github\empty-py-demo\mysite\outing\views.py changed, reloading.
django.utils.autoreload INFO 2023-03-10 08:51:04,405 autoreload 43272 49304 Watching for file changes with StatReloader
django.utils.autoreload INFO 2023-03-10 08:51:13,729 autoreload 43272 49304 E:\repos\github\empty-py-demo\mysite\outing\views.py changed, reloading.
django.utils.autoreload INFO 2023-03-10 08:51:14,257 autoreload 38016 23236 Watching for file changes with StatReloader
django.utils.autoreload INFO 2023-03-10 08:51:36,013 autoreload 38016 23236 E:\repos\github\empty-py-demo\mysite\outing\views.py changed, reloading.
django.utils.autoreload INFO 2023-03-10 08:51:36,530 autoreload 44808 30504 Watching for file changes with StatReloader
django.utils.autoreload INFO 2023-03-10 08:52:42,266 autoreload 44808 30504 E:\repos\github\empty-py-demo\mysite\outing\views.py changed, reloading.
django.utils.autoreload INFO 2023-03-10 08:52:42,911 autoreload 39264 44452 Watching for file changes with StatReloader
django.utils.autoreload INFO 2023-03-10 08:53:15,953 autoreload 39264 44452 E:\repos\github\empty-py-demo\mysite\outing\views.py changed, reloading.
django.utils.autoreload INFO 2023-03-10 08:53:16,436 autoreload 46256 25160 Watching for file changes with StatReloader
django.utils.autoreload INFO 2023-03-10 09:42:59,578 autoreload 48904 35880 Watching for file changes with StatReloader
outing.views WARNING 2023-03-10 09:43:03,758 views 48904 47368 <WSGIRequest: POST '/outing/api/form/save'>
outing.views WARNING 2023-03-10 09:43:03,758 views 48904 47368 <WSGIRequest: POST '/outing/api/form/save'>
outing.views INFO 2023-03-10 09:43:03,758 views 48904 47368 POST
outing.views INFO 2023-03-10 09:43:03,758 views 48904 47368 POST
outing.views DEBUG 2023-03-10 09:43:03,758 views 48904 47368 POST
outing.views DEBUG 2023-03-10 09:43:03,758 views 48904 47368 POST
outing.views ERROR 2023-03-10 09:43:03,758 views 48904 47368 POST
outing.views ERROR 2023-03-10 09:43:03,758 views 48904 47368 POST
outing.views INFO 2023-03-10 09:43:03,758 views 48904 47368 今日最牛大外宣 --- 内容本身就很牛
outing.views INFO 2023-03-10 09:43:03,758 views 48904 47368 今日最牛大外宣 --- 内容本身就很牛
outing.views INFO 2023-03-10 09:43:03,759 views 48904 47368 <class 'datetime.date'>
outing.views INFO 2023-03-10 09:43:03,759 views 48904 47368 <class 'datetime.date'>
django.request ERROR 2023-03-10 09:43:03,904 log 48904 47368 Internal Server Error: /outing/api/form/save
Traceback (most recent call last):
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\mysite\outing\views.py", line 33, in form_save
    article_obj.save()
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\base.py", line 812, in save
    self.save_base(
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\base.py", line 863, in save_base
    updated = self._save_table(
              ^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\base.py", line 976, in _save_table
    updated = self._do_update(
              ^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\base.py", line 1040, in _do_update
    return filtered._update(values) > 0
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\query.py", line 1216, in _update
    return query.get_compiler(self.db).execute_sql(CURSOR)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\sql\compiler.py", line 1822, in execute_sql
    cursor = super().execute_sql(result_type)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\sql\compiler.py", line 1385, in execute_sql
    sql, params = self.as_sql()
                  ^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\sql\compiler.py", line 1788, in as_sql
    val = field.get_db_prep_save(val, connection=self.connection)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\fields\__init__.py", line 925, in get_db_prep_save
    return self.get_db_prep_value(value, connection=connection, prepared=False)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\fields\__init__.py", line 1438, in get_db_prep_value
    value = self.get_prep_value(value)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\fields\__init__.py", line 1433, in get_prep_value
    return self.to_python(value)
           ^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\fields\__init__.py", line 1389, in to_python
    parsed = parse_date(value)
             ^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\utils\dateparse.py", line 74, in parse_date
    return datetime.date.fromisoformat(value)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: fromisoformat: argument must be str
django.utils.autoreload INFO 2023-03-10 09:43:37,828 autoreload 48904 35880 E:\repos\github\empty-py-demo\mysite\outing\views.py changed, reloading.
django.utils.autoreload INFO 2023-03-10 09:43:38,328 autoreload 49008 47600 Watching for file changes with StatReloader
outing.views WARNING 2023-03-10 09:43:40,616 views 49008 18272 <WSGIRequest: POST '/outing/api/form/save'>
outing.views WARNING 2023-03-10 09:43:40,616 views 49008 18272 <WSGIRequest: POST '/outing/api/form/save'>
outing.views INFO 2023-03-10 09:43:40,616 views 49008 18272 POST
outing.views INFO 2023-03-10 09:43:40,616 views 49008 18272 POST
outing.views DEBUG 2023-03-10 09:43:40,616 views 49008 18272 POST
outing.views DEBUG 2023-03-10 09:43:40,616 views 49008 18272 POST
outing.views ERROR 2023-03-10 09:43:40,616 views 49008 18272 POST
outing.views ERROR 2023-03-10 09:43:40,616 views 49008 18272 POST
outing.views INFO 2023-03-10 09:43:40,616 views 49008 18272 今日最牛大外宣 --- 内容本身就很牛
outing.views INFO 2023-03-10 09:43:40,616 views 49008 18272 今日最牛大外宣 --- 内容本身就很牛
outing.views INFO 2023-03-10 09:43:40,616 views 49008 18272 None
outing.views INFO 2023-03-10 09:43:40,616 views 49008 18272 None
django.request ERROR 2023-03-10 09:43:40,681 log 49008 18272 Internal Server Error: /outing/api/form/save
Traceback (most recent call last):
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\backends\utils.py", line 89, in _execute
    return self.cursor.execute(sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\backends\sqlite3\base.py", line 357, in execute
    return Database.Cursor.execute(self, query, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
sqlite3.OperationalError: no such table: outing_article

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\mysite\outing\views.py", line 33, in form_save
    article_obj.save()
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\base.py", line 812, in save
    self.save_base(
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\base.py", line 863, in save_base
    updated = self._save_table(
              ^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\base.py", line 976, in _save_table
    updated = self._do_update(
              ^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\base.py", line 1040, in _do_update
    return filtered._update(values) > 0
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\query.py", line 1216, in _update
    return query.get_compiler(self.db).execute_sql(CURSOR)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\sql\compiler.py", line 1822, in execute_sql
    cursor = super().execute_sql(result_type)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\models\sql\compiler.py", line 1398, in execute_sql
    cursor.execute(sql, params)
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\backends\utils.py", line 103, in execute
    return super().execute(sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\backends\utils.py", line 67, in execute
    return self._execute_with_wrappers(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\backends\utils.py", line 80, in _execute_with_wrappers
    return executor(sql, params, many, context)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\backends\utils.py", line 84, in _execute
    with self.db.wrap_database_errors:
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\utils.py", line 91, in __exit__
    raise dj_exc_value.with_traceback(traceback) from exc_value
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\backends\utils.py", line 89, in _execute
    return self.cursor.execute(sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\backends\sqlite3\base.py", line 357, in execute
    return Database.Cursor.execute(self, query, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
django.db.utils.OperationalError: no such table: outing_article
outing.views WARNING 2023-03-10 09:43:53,972 views 49008 18272 <WSGIRequest: POST '/outing/api/form/save'>
outing.views WARNING 2023-03-10 09:43:53,972 views 49008 18272 <WSGIRequest: POST '/outing/api/form/save'>
outing.views INFO 2023-03-10 09:43:53,972 views 49008 18272 POST
outing.views INFO 2023-03-10 09:43:53,972 views 49008 18272 POST
outing.views DEBUG 2023-03-10 09:43:53,972 views 49008 18272 POST
outing.views DEBUG 2023-03-10 09:43:53,972 views 49008 18272 POST
outing.views ERROR 2023-03-10 09:43:53,972 views 49008 18272 POST
outing.views ERROR 2023-03-10 09:43:53,972 views 49008 18272 POST
outing.views INFO 2023-03-10 09:43:53,972 views 49008 18272 今日最牛大外宣 --- 内容本身就很牛
outing.views INFO 2023-03-10 09:43:53,972 views 49008 18272 今日最牛大外宣 --- 内容本身就很牛
outing.views INFO 2023-03-10 09:43:53,973 views 49008 18272 None
outing.views INFO 2023-03-10 09:43:53,973 views 49008 18272 None
django.request ERROR 2023-03-10 09:43:53,997 log 49008 18272 Internal Server Error: /outing/api/form/save
Traceback (most recent call last):
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\backends\utils.py", line 89, in _execute
    return self.cursor.execute(sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\db\backends\sqlite3\base.py", line 357, in execute
    return Database.Cursor.execute(self, query, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
sqlite3.OperationalError: no such table: outing_article

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "E:\repos\github\empty-py-demo\env1\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
